entity_id;entity_name;sector;country;value
0F91RJ-E;Pecca Group Bhd;Automotive;Malaysia;
05VD0G-E;NRB Bearings Ltd;Automotive;India;
06HKCX-E;ANG Industries Limited;Automotive;India;
06FVJD-E;Remsons Industries Limited;Automotive;India;
063YG9-E;EL Forge Ltd;Automotive;India;
07CKKR-E;Alicon Castalloy Limited;Automotive;India;
07CX0W-E;Menon Pistons Limited;Automotive;India;
05WLR6-E;India Nippon Electricals Limited;Automotive;India;
061PJF-E;Castex Technologies Limited;Automotive;India;
07CG7V-E;Aunde Faze Three Autofab Limited;Automotive;India;
05YZPS-E;Suprajit Engineering Limited;Automotive;India;
06ZJ6X-E;Minda Industries Limited;Automotive;India;
07CV4V-E;JBM Auto Limited;Automotive;India;
069RJ9-E;Shree Ganesh Forgings Limited;Automotive;India;
07D5FS-E;Rane (Madras) Limited;Automotive;India;
06JM31-E;Mahindra CIE Automotive Limited;Automotive;India;
06K99X-E;Fiem Industries Limited;Automotive;India;
009W8C-E;Shivam Autotech Limited;Automotive;India;
06KC9D-E;Lumax Auto Technologies Limited;Automotive;India;
06KKVX-E;Autoline Industries Limited;Automotive;India;
06LCZY-E;Porwal Auto Components Ltd;Automotive;India;
06TYBL-E;PPAP Automotive Limited;Automotive;India;
05VD1L-E;Rane Brake Lining Ltd;Automotive;India;
006VVQ-E;Rane Engine Valve Ltd;Automotive;India;
07F8WS-E;WABCO India Limited;Automotive;India;
05HWRF-E;NGK SPARK PLUG CO LTD;Automotive;Japan;
08VQ1V-E;Sharda Motor Industries Ltd;Automotive;India;
08DDXW-E;Minda Corp Ltd;Automotive;India;
08VQDY-E;Precision Camshafts Ltd;Automotive;India;
0CGSJ2-E;Pricol Ltd;Automotive;India;
072XMX-E;Sandhar Technologies Ltd;Automotive;India;
0HZHDR-E;Benara Bearings & Pistons Ltd;Automotive;India;
0G144V-E;Kranti Industries Ltd;Automotive;India;
05JCH5-E;Chuo Malleable Iron Co Ltd;Automotive;Japan;
05JLY1-E;Metalart Corporation;Automotive;Japan;
0L5VJ1-E;Mintye Bhd;Automotive;Malaysia;
061QBD-E;Harita Seating Systems Limited;Automotive;India;
062GLG-E;Sundaram Brake Linings Limited;Automotive;India;
05RLRL-E;Wheels India Limited;Automotive;India;
05J4ZJ-E;Unipres Corporation;Automotive;Japan;
09RZ3C-E;G-Tekt Corporation;Automotive;Japan;
05J1P7-E;Topre Corporation;Automotive;Japan;
06F9D7-E;H-One Co Ltd;Automotive;Japan;
05HYVZ-E;NHK Spring Co Ltd;Automotive;Japan;
05J1GW-E;Chuo Spring Co Ltd;Automotive;Japan;
05J9NV-E;Chita Kogyo Co Ltd;Automotive;Japan;
0756WG-E;M+S Hydraulic AD;Automotive;Bulgaria;
062LNP-E;Dongfeng Electronic Technology Co Ltd Class A;Automotive;China;
062WNT-E;NBTM New Materials Group Co Ltd Class A;Automotive;China;
062LC8-E;Changchun Yidong Clutch Co Ltd Class A;Automotive;China;
0623DK-E;Shanghai Aerospace Automobile Electromechanical Co Ltd Class A;Automotive;China;
0617JX-E;Harbin Dongan Auto Engine Co Ltd Class A;Automotive;China;
05WRF5-E;Liaoning SG Automotive Group Co Ltd Class A;Automotive;China;
061N2X-E;Anhui Jianghuai Automobile Group Corp Ltd Class A;Automotive;China;
08XR4Y-E;Fangda Special Steel Technology Co Ltd Class A;Automotive;China;
062J1J-E;Guizhou Guihang Automotive Components Co Ltd Class A;Automotive;China;
062917-E;Fujian Longxi Bearing (Group) Co Ltd Class A;Automotive;China;
0608LX-E;Shanghai Jiao Yun Group Co Ltd Class A;Automotive;China;
0610HS-E;HUAYU Automotive Systems Company Limited Class A;Automotive;China;
062MVN-E;Changchun FAWAY Automobile Components Co Ltd Class A;Automotive;China;
061NPD-E;Bohai Automotive Systems Co Ltd Class A;Automotive;China;
0FCRGB-E;Ningbo Tuopu Group Co Ltd Class A;Automotive;China;
08KH5V-E;Changzhou Xingyu Automotive Lighting Systems Co Ltd Class A;Automotive;China;
0DPX71-E;Shanghai Lianming Machinery Co Ltd Class A;Automotive;China;
0G5FBX-E;Changshu Automotive Trim Co Ltd Class A;Automotive;China;
08NGGF-E;Shanghai Carthane Co Ltd Class A;Automotive;China;
0G4S5F-E;ADD Industry (Zhejiang) Corp Ltd Class A;Automotive;China;
0H8M2W-E;Shanghai Sinotec Co Ltd Class A;Automotive;China;
0FCRD6-E;Changzhou Tenglong Auto Parts Co Ltd Class A;Automotive;China;
08KDBB-E;Guilin Fuda Co Ltd Class A;Automotive;China;
0G3RBN-E;Ningbo Shenglong Automotive Powertrain System Co Ltd  Class A;Automotive;China;
0DK8GN-E;Jiangsu Xinquan Automotive Trim Co Ltd Class A;Automotive;China;
08N4P7-E;Shanghai Baolong Automotive Corp Class A;Automotive;China;
0GNQ46-E;Zhejiang Xiantong Rubber & Plastic Co Ltd Class A;Automotive;China;
08NVSL-E;Jiangsu Riying Electronics Co Ltd Class A;Automotive;China;
0H46YK-E;Ningbo Xusheng Auto Technology Co Ltd Class A;Automotive;China;
08NCLF-E;Guangdong Wencan DIE Casting Co Ltd Class A;Automotive;China;
0GRCDF-E;Huada Automotive Technology Corp Ltd Class A;Automotive;China;
08LF8T-E;Shandong Gold Phoenix Co Ltd Class A;Automotive;China;
0FBMGT-E;Zhejiang XCC Group Co Ltd Class A;Automotive;China;
0GS25Z-E;Qijing Machinery Co Ltd Class A;Automotive;China;
0C98V5-E;Zhejiang Dehong Automotive Electronic & Electrical Co Ltd Class A;Automotive;China;
0H471B-E;Shanghai Daimay Automotive Interior Co Ltd Class A;Automotive;China;
08LQ04-E;Chongqing Qinan M&E Plc Class A;Automotive;China;
0G1WP2-E;Zhejiang Zomax Transmission Co Ltd Class A;Automotive;China;
0GVB02-E;Hefei Changqing Machinery Co Ltd Class A;Automotive;China;
0CP6M7-E;Keboda Technology Co Ltd Class A;Automotive;China;
08LV81-E;Ningbo Gaofa Automotive Control System Co Ltd Class A;Automotive;China;
0GCXCR-E;Suzhou Jin Hong Shun Auto Parts Co Ltd Class A;Automotive;China;
0FPV0H-E;Zhejiang Tieliu Clutch Co Ltd Class A;Automotive;China;
0KF2XW-E;Nanjing Chervon Auto Precision Technology Co Ltd Class A;Automotive;China;
0C0DV7-E;Ningbo Jifeng Auto Parts Co Ltd Class A;Automotive;China;
05JHMR-E;Nikki Co Ltd;Automotive;Japan;
0JK628-E;China Tianrui Automotive Interiors Co Ltd;Automotive;China;
05HWFW-E;Toyota Industries Corp;Automotive;Japan;
06HKF2-E;Hu Lane Associate Inc;Automotive;Taiwan;
05J596-E;Giken Ltd;Automotive;Japan;
05JC1R-E;SNT Corporation;Automotive;Japan;
05HZMS-E;SANDEN HOLDINGS CORP;Automotive;Japan;
05J4Y1-E;Nippon Piston Ring Co Ltd;Automotive;Japan;
05J0SY-E;Riken Corporation;Automotive;Japan;
0C4BWR-E;TPR Co Ltd;Automotive;Japan;
05JLTZ-E;Nichidai Corporation;Automotive;Japan;
05J1DQ-E;Taiho Kogyo Co Ltd;Automotive;Japan;
05J9NF-E;Nittan Valve Co Ltd;Automotive;Japan;
05J327-E;Sanoh Industrial Co Ltd;Automotive;Japan;
05ZZLJ-E;Depo Auto Parts Industrial Co Ltd;Automotive;Taiwan;
0C9DF0-E;Huazhong In-Vehicle Holdings Company Limited;Automotive;China;
05JCZS-E;Sawafuji Electric Co Ltd;Automotive;Japan;
05HWC5-E;DENSO CORPORATION;Automotive;Japan;
05HWR2-E;Stanley Electric Co Ltd;Automotive;Japan;
05J5M3-E;Furukawa Battery Co Ltd;Automotive;Japan;
05JPV5-E;Lead Co Inc;Automotive;Japan;
05HYZP-E;TOKAI RIKA CO LTD;Automotive;Japan;
05JB1P-E;New Hoong Fatt Holdings Bhd;Automotive;Malaysia;
00624R-E;SMIS Corp Bhd;Automotive;Malaysia;
05ZC8S-E;Goodway Integrated Industries Bhd;Automotive;Malaysia;
05J9L3-E;F-Tech Inc;Automotive;Japan;
0677GF-E;GMB Corporation;Automotive;Japan;
05X4YL-E;FALTEC Co Ltd;Automotive;Japan;
062NLQ-E;Tein Inc;Automotive;Japan;
05LYCY-E;Tanaka Seimitsu Kogyo Co Ltd;Automotive;Japan;
0065DX-E;HKS Co Ltd;Automotive;Japan;
05JM5L-E;Musashi Seimitsu Industry Co Ltd;Automotive;Japan;
05HZX6-E;Nissan Shatai Co Ltd;Automotive;Japan;
05JHLQ-E;Watta Holding Bhd;Automotive;Malaysia;
066XGS-E;Aska Corporation;Automotive;Japan;
0062KW-E;Daytona Corporation;Automotive;Japan;
05R0DV-E;Yutaka Giken Co Ltd;Automotive;Japan;
05HZ7R-E;Nissin Kogyo Co Ltd;Automotive;Japan;
05JFNM-E;Tokyo Radiator Manufacturing Co Ltd;Automotive;Japan;
05J22P-E;TRAD Co Ltd;Automotive;Japan;
05J2B5-E;AKEBONO BRAKE INDUSTRY CO LTD;Automotive;Japan;
05J2Z5-E;Tachi-S Co Ltd;Automotive;Japan;
05HXR8-E;Futaba Industrial Co Ltd;Automotive;Japan;
05J0C7-E;KYB Corporation;Automotive;Japan;
05J29T-E;Ichikoh IndustriesLtd;Automotive;Japan;
05J531-E;Press Kogyo Co Ltd;Automotive;Japan;
05JBWB-E;Mikuni Corporation;Automotive;Japan;
05J2RB-E;Pacific Industrial Co Ltd;Automotive;Japan;
05HXRQ-E;Keihin Corp;Automotive;Japan;
05JC3X-E;Univance Corporation;Automotive;Japan;
05J5X8-E;Kasai Kogyo Co Ltd;Automotive;Japan;
05HWHB-E;Aisin Seiki Co Ltd;Automotive;Japan;
063GBS-E;Muro Corporation;Automotive;Japan;
05J9TX-E;Imasen Electric Industrial Co Ltd;Automotive;Japan;
05JLMM-E;TATSUMI Corporation;Automotive;Japan;
05JDZ5-E;Yasunaga Corporation;Automotive;Japan;
05JFPG-E;Ikuyo Co Ltd;Automotive;Japan;
05HZ1Q-E;Showa Corporation;Automotive;Japan;
05HZ2G-E;Koito Manufacturing Co Ltd;Automotive;Japan;
05JFV0-E;TBK Co Ltd;Automotive;Japan;
05J0FH-E;Exedy Corporation;Automotive;Japan;
05J03T-E;Hi-Lex Corporation;Automotive;Japan;
05J2BN-E;Mitsuba Corporation;Automotive;Japan;
05HWZM-E;Toyoda Gosei Co Ltd;Automotive;Japan;
05J00D-E;Aisan Industry Co Ltd;Automotive;Japan;
05JCHH-E;Meiwa Industry Co Ltd;Automotive;Japan;
